Business_Date,  Fixed_Income  , Deposits , Other_liabilities , Secured_Funding , Equities , Unsecured_Funding 
43382,3329987,91464948,2958798,291794,464708,377554
43383,3120873,78934161,2826965,287846,461011,369405
43384,3519524,80827657,2898766,284984,450444,364322
43385,3323718,78036408,2912391,284337,437710,366371
43388,3197535,87222136,2806626,275724,437734,357605
43389,3796528,86727296,2823552,290281,446293,362414
43390,3308494,85666215,2844362,280740,452171,360870
43391,3336705,83716594,2905084,289068,450033,365999
43392,3633292,81513430,2900330,284438,439849,364683
43395,3641541,82611408,2922740,288200,437135,370225
43396,3694926,83071450,2981342,285788,433317,364301
43397,3649170,88127716,3022700,283820,425861,360578
43398,3745089,87093753,3042875,292233,425772,362305
43399,3989521,87377927,3009994,295713,424642,359265
43402,4040590,84055270,2970423,292426,422690,355154
43403,3627186,83315117,2972950,286868,426395,358040
43404,3576236,83177285,3207109,279575,428836,314632
43405,3732453,81876277,3423235,287961,431299,365810
43406,3747135,58744112,3283808,286949,441152,364220
43409,3995932,79503628,3059219,292790,432884,355133
43410,3934594,76626313,2969306,288352,436421,355290
43411,3953681,77823560,3040030,295450,428193,359264
43412,3923385,75740365,3078918,283998,438191,358718
43413,4139833,80604351,2931321,287811,431825,353986
43416,4153557,80859235,3170667,289166,429368,348986
43417,4089401,77761428,3096669,294668,430252,350324
43418,4023759,75882707,3106650,288774,426988,347302
43419,3939980,56117116,3086663,289516,428206,345387
43420,4604596,76025121,3088432,285959,425826,346712
43423,4357141,72676874,2957700,274340,420310,342059
43424,4542833,71471383,2981562,278881,424213,336924
43425,4608490,73087034,2881310,277639,413324,332555
43426,4614706,72350462,5363151,276892,414500,333509
43427,4742176,73258947,5228577,276202,416883,322756
43430,4568834,76868738,5264590,276881,420084,326437
43431,4844485,79206161,5448547,285035,419254,320176
43432,4622207,100513065,5610125,289369,418588,327133
43433,4309342,102663127,4551044,273265,422795,336653
43434,4544919,80986000,5952241,269236,425067,324984
43439,5063549,77618970,5623142,290340,423201,334954
43440,4981240,82371684,5498411,286764,420338,331777
43441,4694442,75724685,5527521,289910,419766,330131
43444,4670514,75927960,5499006,283900,418257,329795
43445,4983825,77151422,5634070,283996,417841,331202
43446,4898426,76825695,5554813,278355,424683,336284
43447,4688684,75577642,5505810,289528,427675,328731
43448,4597479,74859370,5442601,290834,426654,327092
43451,4712268,81005522,5389888,280811,421249,319794
43452,4292085,75425321,5492515,281000,423363,317668
43453,4255275,76087753,5145647,286888,418432,315620
43454,3023740,73088557,5312608,281278,416334,309030
43455,4239770,72467295,5199597,277140,412361,309802
43458,4315268,70914764,4983455,275856,411019,311434
43459,4706945,48714764,4983455,275856,411019,311435
43460,4114831,73159862,4947276,276097,418042,313683
43461,3872758,76889636,4868186,268884,418942,312938
43462,3804711,72538481,4794598,264325,410677,319237
43465,3861689,71641902,5021213,246260,413551,319195
43466,4131426,71641902,5021213,246260,413551,319200
43467,3794952,76584785,5024718,266136,420562,318214
43468,3877401,76871540,5424784,261270,420586,320572
43469,3772808,76570762,5130647,269781,418890,325407
43472,4270047,76134199,4670670,256936,415612,325642
43473,4017157,76299678,5018989,259018,415845,326914
43474,4101653,71393302,5235228,258499,414923,328990
43475,4300227,75387510,5134213,266406,416802,330308
43476,4259080,77600247,4886910,272980,422617,335221
43479,4322710,76413023,4912339,261484,420744,334115
43480,4822439,75627961,5013569,279148,420610,335487
43481,4840156,76092040,4816622,285027,423435,336066
43482,4475790,75607484,4681187,277458,424291,335160
43483,4543956,74161508,3946498,271514,425807,336764
43487,4588617,72382848,4678564,277734,421247,335873
43488,4654981,72198847,4666692,282010,413232,333865
43489,4638300,73506638,4632262,270730,404979,333924
43490,4600016,73864002,4676299,277324,405169,338966
43493,4486568,71113580,4785009,278155,407568,335573
43494,4941400,71300029,4878295,274652,399494,336067
43495,4458633,72091844,4927748,266576,398013,338123
43496,5319941,72605864,5099030,250341,402360,338697
